상품ID,원본URL,순위,분류,브랜드,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
1583567802,https://www.coupang.com/vp/products/1583567802?itemId=16189142540&vendorItemId=83384328563&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=deb53e9b2269060&sourceType=search&itemsCount=36&searchRank=15&rank=15,16,햄,곰곰,곰곰 오리지널 부어스트,,9890,599,1650,"6,555",4.77
8199580325,https://www.coupang.com/vp/products/8199580325?itemId=23499029196&vendorItemId=90525473303&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=deb53e9b2269060&sourceType=search&itemsCount=36&searchRank=16&rank=16,17,햄,곰곰,"곰곰 페퍼로니 1kg (냉동), 1개",,13410,1001,1340,906,4.83
2077052801,https://www.coupang.com/vp/products/2077052801?itemId=3529065109&vendorItemId=71515109719&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=deb53e9b2269060&sourceType=search&itemsCount=36&searchRank=18&rank=18,19,햄,곰곰,"곰곰 엄마의 정성 김밥햄, 260g, 1개",,3590,260,1380,"23,262",4.76
6700155920,https://www.coupang.com/vp/products/6700155920?itemId=15516184223&vendorItemId=82735430697&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=deb53e9b2269060&sourceType=search&itemsCount=36&searchRank=19&rank=19,20,햄,곰곰,"곰곰 닭가슴살 슬라이스햄, 500g, 1개",,8320,501,1660,"1,747",4.6
6636997333,https://www.coupang.com/vp/products/6636997333?itemId=15155824130&vendorItemId=82377285466&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=deb53e9b2269060&sourceType=search&itemsCount=36&searchRank=24&rank=24,25,햄,곰곰,"곰곰 무무 부어스트 아질산나트륨 무첨가, 1kg, 1개",,14060,997,1410,961,4.73
8209188585,https://www.coupang.com/vp/products/8209188585?itemId=23557980342&vendorItemId=90584023646&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=deb53e9b2269060&sourceType=search&itemsCount=36&searchRank=25&rank=25,26,햄,곰곰,"곰곰 온가족 살코기햄, 600g, 1개",,6100,598,1020,575,4.75
4923986762,https://www.coupang.com/vp/products/4923986762?itemId=6457194067&vendorItemId=73752404663&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=deb53e9b2269060&sourceType=search&itemsCount=36&searchRank=34&rank=34,35,햄,곰곰,"곰곰 바닷속 문어다리모양 비엔나, 1kg, 1개",,14480,999,1450,"1,858",4.72
1230091847,https://www.coupang.com/vp/products/1230091847?itemId=2223203045&vendorItemId=70220878301&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=520c801e2288748&sourceType=search&itemsCount=36&searchRank=37&rank=37,37,햄,곰곰,곰곰 부어스트 소시지 오리지날 (냉동),,16870,1506,1120,"1,889",4.73
1570155928,https://www.coupang.com/vp/products/1570155928?itemId=19223670548&vendorItemId=86340356705&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=57362ab32271643&sourceType=search&itemsCount=36&searchRank=74&rank=74,74,햄,곰곰,"곰곰 신선한 저지방우유, 900ml, 6개",,11070,5400,205,"58,391",4.8
7610073262,https://www.coupang.com/vp/products/7610073262?itemId=20775778234&vendorItemId=87845635523&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=57362ab32271643&sourceType=search&itemsCount=36&searchRank=80&rank=80,80,햄,곰곰,곰곰 호밀빵 대만식 샌드위치 햄 (냉동),,4380,148,2960,446,4.48
4550031580,https://www.coupang.com/vp/products/4550031580?itemId=20214789456&vendorItemId=87304651666&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=57362ab32271643&sourceType=search&itemsCount=36&searchRank=86&rank=86,86,햄,곰곰,"곰곰 담백한 베이컨, 130g, 1개",,2640,130,2030,"87,663",4.78
7565161719,https://www.coupang.com/vp/products/7565161719?itemId=19939832713&vendorItemId=87039174318&q=%EA%B3%B0%EA%B3%B0%20%ED%96%84&searchId=57362ab32271643&sourceType=search&itemsCount=36&searchRank=97&rank=97,97,햄,곰곰,"곰곰 간식 소시지 오리지널, 1000g, 2개",7.0,18410,2001,920,69,4.69
266254917,https://www.coupang.com/vp/products/266254917?itemId=834542714&vendorItemId=5124578637&pickType=COU_PICK&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=0&rank=0,1,반찬,곰곰,"곰곰 광천 도시락김, 5g, 32개",19.0,10420,160,6510,"257,674",4.76
7297193823,https://www.coupang.com/vp/products/7297193823?itemId=6506392990&vendorItemId=73800690048&q=%EA%B3%B0%EA%B3%B0%20%EB%B0%98%EC%B0%AC&searchId=346c84f2916926&sourceType=search&itemsCount=36&searchRank=1&rank=1,2,반찬,곰곰,"곰곰 백명란젓갈, 500g, 1개",,12990,500,2600,"34,431",4.71
