상품ID,컬리상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점
12273067758,5030559,KF365,2,채소,[KF365] 애호박 1개,10,2241,1.0,2016900.0,5503.0,4.85
12274372870,5054657,KF365,3,채소,[KF365] 백다다기오이 3입,10,3591,3.0,1077300.0,4905.0,4.8
12273066792,5026448,KF365,4,채소,[KF365] 감자 1kg (겨울 하우스 햇),7,6490,,,4591.0,4.84
12274343025,5026449,KF365,5,채소,[KF365] 호박고구마 800g,6,5590,800.0,3494.0,5717.0,4.79
12274346596,5031395,KF365,6,채소,[KF365] 무 1입(1kg),12,2631,,,1954.0,4.82
12273067062,5027318,KF365,7,채소,[KF365] 깐마늘 200g,0,3490,200.0,1745.0,3153.0,4.87
12271399975,5030557,KF365,8,채소,[KF365] 파프리카 2입,25,4490,,,1750.0,4.86
12274358913,5045384,KF365,9,채소,[KF365] 깻잎 30g,8,1540,30.0,35933.0,1643.0,4.66
12275466779,5036663,KF365,10,채소,[KF365] 부추 200g,6,2790,200.0,6975.0,2269.0,4.88
12275456252,5054661,KF365,11,채소,[KF365] 가지 2입,10,3231,,,996.0,4.81
12273077855,5061352,KF365,12,채소,[KF365] 청양고추 200g,0,3490,200.0,1745.0,911.0,4.86
12274656691,1000952172,KF365,13,채소,[KF365] 냉동 다진 마늘 300g,0,6990,300.0,2330.0,2231.0,4.92
12274343236,5026450,KF365,14,채소,[KF365] 밤고구마 800g,7,5090,800.0,3817.0,1587.0,4.81
12274623155,1000612619,KF365,15,채소,[KF365] 포기로메인 300g,0,4490,300.0,1497.0,390.0,4.84
12274345804,5030612,KF365,16,채소,[KF365] 청상추 150g,0,1790,150.0,1193.0,211.0,4.87
12273073684,5049920,KF365,17,채소,[KF365] 양파 1.8kg,0,4990,,,177.0,4.8
12273067787,5030610,KF365,18,채소,[KF365] 적상추 150g,0,1790,150.0,1193.0,97.0,4.79
12333905205,5071172,KF365,1,생수·음료,[KF365] 무라벨 플레인 탄산수 350mL 2종 (택1),0,3900,,,1030.0,4.89
12534290071,5109786,KF365,2,생수·음료,[KF365] 무라벨 레몬라임 스파클링 (350mL X 24개),0,12500,24.0,52083.0,89.0,4.89
12534290120,5109784,KF365,3,생수·음료,[KF365] 무라벨 청포도알로에 스파클링 (350mL X 24개),0,12500,24.0,52083.0,50.0,4.96
12274595283,1000325955,KF365,1,면·양념·오일,[KF365] 17가지 재료로 만든 코인 육수링 100g (25정),11,7980,4.0,1995000.0,548.0,4.87
12344983418,5029850,kurly's,1,정육·가공육·달걀,[Kurly's] 동물복지 유정란 20구,5,9680,20.0,193600.0,4480.0,4.85
12344983418,5031086,kurly's,2,정육·가공육·달걀,[Kurly's] 동물복지 백색 유정란 20구,5,9965,20.0,199300.0,4480.0,4.85
12275462136,1000137054,kurly's,3,정육·가공육·달걀,[Kurly's] 자유방목 동물복지 유정란 10구,0,7390,10.0,73900.0,1846.0,4.83
12274353062,5040907,kurly's,4,정육·가공육·달걀,[Kurly's] 깐 메추리 유정란 450g,0,5990,450.0,1331.0,1089.0,4.85
12274354126,5051889,kurly's,5,정육·가공육·달걀,[Kurly's] 동물복지 구운란 10구,0,7000,10.0,70000.0,535.0,4.82
12274609876,1000433115,kurly's,6,정육·가공육·달걀,[Kurly's] 1++ 한우 국거리 250g (냉장),20,14880,250.0,113088.0,726.0,4.82
12274470853,5062127,kurly's,7,정육·가공육·달걀,[Kurly's] 계란옷 입은 고기완자 500g,10,6500,500.0,11700.0,698.0,4.88
12274470853,5062127,kurly's,7,정육·가공육·달걀,[Kurly's] 계란옷 입은 고기완자 500g,10,6500,500.0,11700.0,698.0,4.88
12274354126,5041772,kurly's,8,정육·가공육·달걀,[Kurly's] 동물복지 반숙란 10구,0,7000,10.0,70000.0,535.0,4.82
